timestamp,id_tarjeta,puerta,tipo
2026-01-13T14:03:15,T090,1,entrada
2026-01-13T14:03:20,T096,2,entrada
2026-01-13T14:05:44,T034,1,entrada
2026-01-13T14:08:20,T096,6,entrada
2026-01-13T14:11:15,T090,6,entrada
2026-01-13T14:12:44,T034,6,entrada
2026-01-13T14:21:32,T006,3,entrada
2026-01-13T14:27:18,T062,2,entrada
2026-01-13T14:28:32,T006,6,entrada
2026-01-13T14:29:02,T039,2,entrada
2026-01-13T14:29:59,T044,1,entrada
2026-01-13T14:30:17,T085,2,entrada
2026-01-13T14:32:10,T100,1,entrada
2026-01-13T14:32:18,T062,6,entrada
2026-01-13T14:34:59,T044,6,entrada
2026-01-13T14:35:04,T072,3,entrada
2026-01-13T14:35:17,T085,6,entrada
2026-01-13T14:37:02,T039,6,entrada
2026-01-13T14:38:55,T061,2,entrada
2026-01-13T14:39:04,T072,6,entrada
2026-01-13T14:40:04,T088,2,entrada
2026-01-13T14:40:55,T061,6,entrada
2026-01-13T14:41:28,T027,2,entrada
2026-01-13T14:44:42,T046,2,entrada
2026-01-13T14:46:28,T027,6,entrada
