timestamp,id_tarjeta,puerta,tipo
2026-01-13T13:01:21,T068,5,entrada
2026-01-13T13:01:59,T052,5,entrada
2026-01-13T13:02:08,T008,5,entrada
2026-01-13T13:02:23,T079,5,entrada
2026-01-13T13:02:57,T077,5,entrada
2026-01-13T13:03:58,T061,4,salida
2026-01-13T13:04:18,T100,4,salida
2026-01-13T13:04:56,T055,5,entrada
2026-01-13T13:06:30,T078,5,entrada
2026-01-13T13:06:45,T051,5,entrada
2026-01-13T13:07:00,T041,5,entrada
2026-01-13T13:09:58,T090,4,salida
2026-01-13T13:10:25,T014,5,entrada
2026-01-13T13:11:41,T044,4,salida
2026-01-13T13:12:26,T083,5,entrada
2026-01-13T13:12:28,T018,5,entrada
2026-01-13T13:12:38,T023,5,entrada
2026-01-13T13:13:42,T082,5,entrada
2026-01-13T13:14:28,T095,5,entrada
2026-01-13T13:15:48,T054,5,entrada
2026-01-13T13:16:03,T045,5,entrada
2026-01-13T13:16:04,T057,5,entrada
2026-01-13T13:16:58,T062,4,salida
2026-01-13T13:17:39,T098,5,entrada
2026-01-13T13:19:34,T074,5,entrada
2026-01-13T13:19:34,T005,5,entrada
2026-01-13T13:19:46,T059,5,entrada
2026-01-13T13:20:13,T069,5,entrada
2026-01-13T13:20:13,T048,5,entrada
2026-01-13T13:21:11,T089,5,entrada
2026-01-13T13:21:18,T096,4,salida
2026-01-13T13:22:10,T038,5,entrada
2026-01-13T13:22:33,T070,5,entrada
2026-01-13T13:23:21,T034,4,salida
2026-01-13T13:25:53,T012,5,entrada
2026-01-13T13:26:03,T027,4,salida
2026-01-13T13:26:53,T046,4,salida
2026-01-13T13:30:23,T007,5,entrada
2026-01-13T13:30:58,T093,5,entrada
2026-01-13T13:31:55,T006,4,salida
2026-01-13T13:32:46,T088,4,salida
2026-01-13T13:33:02,T085,4,salida
2026-01-13T13:34:28,T010,5,entrada
2026-01-13T13:34:39,T019,5,entrada
2026-01-13T13:34:56,T036,5,entrada
2026-01-13T13:35:25,T037,5,entrada
2026-01-13T13:35:29,T039,4,salida
2026-01-13T13:35:30,T013,5,entrada
2026-01-13T13:36:12,T065,5,entrada
2026-01-13T13:37:48,T086,5,entrada
2026-01-13T13:39:46,T072,4,salida
2026-01-13T13:41:11,T011,5,entrada
2026-01-13T13:41:22,T001,5,entrada
2026-01-13T13:41:33,T084,5,entrada
2026-01-13T13:42:50,T092,5,entrada
2026-01-13T13:43:29,T004,5,entrada
2026-01-13T13:44:13,T035,5,entrada
2026-01-13T13:44:35,T009,5,entrada
2026-01-13T13:45:03,T024,5,entrada
2026-01-13T13:45:29,T031,5,entrada
2026-01-13T13:45:56,T040,5,entrada
2026-01-13T13:47:43,T032,5,entrada
2026-01-13T13:48:18,T064,5,entrada
2026-01-13T13:49:21,T067,5,entrada
2026-01-13T13:50:28,T066,5,entrada
