timestamp,id_tarjeta,puerta,tipo
2026-01-13T10:01:52,T074,3,entrada
2026-01-13T10:02:33,T066,2,entrada
2026-01-13T10:07:55,T076,1,entrada
2026-01-13T10:09:08,T065,2,entrada
2026-01-13T10:09:23,T030,3,entrada
2026-01-13T10:11:22,T093,2,entrada
2026-01-13T10:18:09,T056,1,entrada
2026-01-13T10:22:59,T069,3,entrada
2026-01-13T10:25:42,T051,3,entrada
2026-01-13T10:29:48,T049,3,entrada
2026-01-13T10:30:29,T085,2,entrada
2026-01-13T10:30:43,T094,4,salida
2026-01-13T10:39:12,T098,3,entrada
2026-01-13T10:39:14,T013,3,entrada
2026-01-13T10:41:53,T054,2,entrada
2026-01-13T10:43:33,T057,1,entrada
2026-01-13T10:44:58,T063,2,entrada
2026-01-13T10:45:21,T050,3,entrada
2026-01-13T10:48:06,T025,2,entrada
2026-01-13T10:49:37,T039,4,salida
2026-01-13T10:51:33,T088,1,entrada
2026-01-13T10:57:28,T044,4,salida
